"year" "4VWXrv" "HalSurv" "ObsLLnafo3" "ObsLLnafo4" "ObsOT" "PsLL"
1970 11 0 0 0 0 0
1971 18 0 0 0 0 0
1972 16 0 0 0 0 0
1973 12 0 0 0 0 0
1974 31 0 0 0 0 0
1975 28 0 0 0 0 0
1976 30 0 0 0 0 0
1977 68 0 0 0 0 0
1978 27 0 0 0 0 0
1979 39 0 0 0 0 0
1980 33 0 0 0 0 0
1981 19 0 0 0 12 0
1982 18 0 0 0 0 0
1983 12 0 0 0 0 0
1984 14 0 0 0 39 0
1985 13 0 0 0 59 0
1986 20 0 0 0 2 0
1987 24 0 0 0 63 0
1988 17 0 371 68 98 0
1989 39 0 460 4 130 0
1990 43 0 755 0 517 0
1991 34 0 618 9 228 0
1992 26 0 1009 159 86 0
1993 26 0 60 26 95 0
1994 23 0 63 9 56 31
1995 15 0 585 62 6 0
1996 23 0 286 1646 9 0
1997 24 0 713 875 0 12
1998 19 195 1158 2531 0 0
1999 21 238 1116 914 2 1347
2000 0 316 1892 1405 6 1814
2001 21 284 1608 1112 10 2535
2002 24 215 1092 1318 17 1862
2003 26 230 1295 1539 8 1825
2004 26 319 666 265 92 8205
2005 46 276 1304 332 10 1154
2006 30 78 428 334 6 1972
2007 28 188 5683 581 26 1961
2008 45 280 3300 1415 2 3022
2009 32 567 2867 2109 4 2128
2010 79 546 3581 2248 90 2029
2011 106 798 2278 2385 3 2955
2012 68 567 3753 1562 1 5080
2013 53 780 6299 1297 34 3505
