"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
1970 1414337 0 0 0 0 0 0 0
1971 2228311 0 0 0 0 0 0 0
1972 1217084 0 0 0 0 0 0 0
1973 1767305 0 0 0 0 0 0 0
1974 2578750 0 0 0 0 0 0 0
1975 2790956 0 0 0 0 0 0 0
1976 3911958 0 0 0 0 0 0 0
1977 5605218 0 0 0 0 0 0 0
1978 3331652 0 0 0 0 0 0 0
1979 4448952 0 0 0 0 18 0 0
1980 4793259 0 0 0 0 16 0 0
1981 2807428 0 0 0 0 37 0 0
1982 2235326 0 0 0 24 0 0 0
1983 1095065 0 0 0 0 0 0 0
1984 1602076 0 0 0 272 22 0 0
1985 1423284 0 0 0 993 0 0 0
1986 1653876 0 0 0 86 2 0 0
1987 1600166 0 0 0 183 126 0 0
1988 2712066 0 781 126 124 283 0 0
1989 2390692 0 887 4 152 242 0 309
1990 1739067 0 2275 0 373 1339 169 0
1991 3085253 0 1628 20 157 610 173 438
1992 2444424 0 2358 405 116 747 0 137
1993 1312695 0 310 912 99 272 28 106
1994 1635602 0 329 93 7 150 538 55
1995 1435049 0 1987 483 0 88 455 50
1996 1610723 0 1268 5065 0 65 284 0
1997 1409153 0 2246 3053 2 11 302 31
1998 1405231 501 2359 7742 3 27 707 33
1999 1323667 589 2200 2861 0 59 4649 106
2000 1016036 810 2975 3620 0 267 5573 12
2001 2207952 801 3444 2764 3 55 6707 134
2002 1264346 695 2541 3310 3 42 6056 68
2003 1264112 525 3039 3778 0 43 4507 63
2004 2083292 623 1772 625 0 1022 17220 186
2005 2903874 697 2214 885 0 77 3455 109
2006 2705960 584 1262 1045 0 47 4541 23
2007 1941632 953 9235 1248 0 858 5250 305
2008 1704747 1167 7021 3423 0 8 5592 14
2009 1509553 1559 5318 6963 0 24 3554 66
2010 2836214 1624 6065 6683 13 407 3608 247
2011 3314799 2043 4725 5538 3 288 5273 520
2012 2497463 1952 7240 4625 0 236 8446 912
2013 2071251 2189 9063 3510 82 96 6277 35
