"year" "4VWXrv" "HalSurv" "ObsLLnafo3" "ObsLLnafo4" "ObsOT" "PsLL"
1970 9 0 0 0 0 0
1971 19 0 0 0 0 0
1972 9 0 0 0 0 0
1973 24 0 0 0 0 0
1974 15 0 0 0 0 0
1975 33 0 0 0 0 0
1976 39 0 0 0 0 0
1977 41 0 0 0 0 0
1978 29 0 0 0 0 0
1979 37 0 0 0 0 0
1980 35 0 0 0 0 0
1981 30 0 0 0 2 0
1982 27 0 0 0 0 0
1983 10 0 0 0 0 0
1984 19 0 0 0 255 0
1985 15 0 0 0 149 0
1986 21 0 0 0 0 0
1987 21 0 0 0 87 0
1988 39 0 392 58 137 0
1989 34 0 426 0 151 0
1990 36 0 941 0 207 0
1991 36 0 579 6 175 0
1992 34 0 812 162 106 0
1993 17 0 43 27 99 0
1994 20 0 58 3 51 21
1995 24 0 409 82 16 0
1996 25 0 174 2038 2 0
1997 20 0 701 1230 3 10
1998 35 235 771 3909 3 0
1999 13 245 903 1614 3 2519
2000 1 311 978 1840 8 3099
2001 31 281 1619 1112 11 3384
2002 21 246 1249 1266 6 2982
2003 22 193 1443 1700 3 2363
2004 33 230 996 287 54 8499
2005 56 246 792 459 11 2019
2006 34 77 602 329 12 1922
2007 58 165 3027 414 10 2735
2008 50 223 2946 1336 1 2054
2009 45 540 1966 2729 1 739
2010 105 316 2094 2031 102 929
2011 118 875 2309 1707 2 1857
2012 59 530 3067 1311 1 2228
2013 58 629 2357 1256 31 1239
