"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0.002602215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.002185528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05741915,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00561492,-1,-1,0.008742112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01010495,-1,-1,0.008742112,0.00648884,0.005565656,0,0,0,0,0.002876539,0.0003464419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01000269,-1,-1,0.008742112,0.00648884,0.006315754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007962199,-1,-1,0.01748152,0.003243356,0.0180588,0.007166958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01207231,-1,-1,0.006556584,0,0.02289603,0.02257343,0,0,0,0.0001987476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0232671,-1,-1,0.006556584,0.003243356,0.01803149,0.01218881,0.001903075,0,0,0.001475959,0,0,0,0,0,0,0,0,0,0,0.001120411,0.0003708564,0,0.0002904701,0
"12",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02163031,-1,-1,0.004371056,0.008887306,0.02551227,0.005698427,0.002486708,0,0,0,0,0.000284875,0.000397196,0,0,0,0,0,0,0,0.005477567,0.0003302146,0.0003096801,0,0
"13",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01333064,-1,-1,0.006556584,0.008914972,0.05416418,0.03600262,0.001980751,0.003047891,0.0006217776,0.000389851,0,0.001092021,0.002383176,0,0,0,0,0,0,0.001531084,0.0183623,0,0.00237901,0.0005847622,0
