## scal_catch_cf1.dat
##TimeStep Year Commercial_fishery RV_4VWX HS 
# landCatchMatrix(tonnes) 
1 1970 1529 1 1 
2 1971 1605 1 1 
3 1972 1360 1 1 
4 1973 1274 1 1 
5 1974 1176 1 1 
6 1975 1080 1 1 
7 1976 1104 1 1 
8 1977 1328 1 1 
9 1978 1450 1 1 
10 1979 1665 1 1 
11 1980 1766 1 1 
12 1981 1655 1 1 
13 1982 2262 1 1 
14 1983 2297 1 1 
15 1984 3082 1 1 
16 1985 4043 1 1 
17 1986 3412 1 1 
18 1987 2658 1 1 
19 1988 2402 1 1 
20 1989 2052 1 1 
21 1990 2295 1 1 
22 1991 2186 1 1 
23 1992 1469 1 1 
24 1993 1320 1 1 
25 1994 1159 1 1 
26 1995 853 1 1 
27 1996 875 1 1 
28 1997 1105 1 1 
29 1998 1011 1 7 
30 1999 1051 1 8 
31 2000 953 1 12 
32 2001 1449 1 9 
33 2002 1493 1 9 
34 2003 1600 1 8 
35 2004 1465 1 10 
36 2005 1336 1 9 
37 2006 1395 1 7 
38 2007 1562 1 13 
39 2008 1494 1 15 
40 2009 2134 1 18 
41 2010 1887 1 18 
42 2011 1743.991 1 25 
43 2012 2014.811 1 22 
44 2013 2391.643 1 24 

