## scal_catch_cf1.dat
##TimeStep Year LL OT RV_4VWX HS 
# landCatchMatrix(tonnes) 
1 1970 810 719 1 1 
2 1971 937 668 1 1 
3 1972 845 515 1 1 
4 1973 854 420 1 1 
5 1974 697 479 1 1 
6 1975 663 417 1 1 
7 1976 682 422 1 1 
8 1977 568 760 1 1 
9 1978 744 706 1 1 
10 1979 889 776 1 1 
11 1980 1064 702 1 1 
12 1981 1063 592 1 1 
13 1982 1397 865 1 1 
14 1983 1625 672 1 1 
15 1984 2381 701 1 1 
16 1985 2626 1417 1 1 
17 1986 2394 1018 1 1 
18 1987 1706 952 1 1 
19 1988 2000 402 1 1 
20 1989 1783 269 1 1 
21 1990 1643 652 1 1 
22 1991 1098 1088 1 1 
23 1992 1166 303 1 1 
24 1993 1026 294 1 1 
25 1994 986 173 1 1 
26 1995 681 172 1 1 
27 1996 734 141 1 1 
28 1997 867 238 1 1 
29 1998 795 216 1 7 
30 1999 812 239 1 8 
31 2000 799 154 1 12 
32 2001 1169 280 1 9 
33 2002 1119 374 1 9 
34 2003 1084 516 1 8 
35 2004 1183 282 1 10 
36 2005 1125 211 1 9 
37 2006 1233 162 1 7 
38 2007 1406 156 1 13 
39 2008 1379 115 1 15 
40 2009 1527 607 1 18 
41 2010 1642 245 1 18 
42 2011 1575.962 168.029 1 25 
43 2012 1803.89 210.921 1 22 
44 2013 2246.74 144.903 1 24 

