## scal_catch_cf1.dat
##TimeStep Year LL_NAFO3_Obs LL_NAFO4_Obs OT_NAFO3_Obs OT_NAFO4_Obs RV_4VWX HS 
# landCatchMatrix(tonnes) 
1 1970 257 553 442 277 1 1 
2 1971 338 599 262 406 1 1 
3 1972 211 634 319 196 1 1 
4 1973 211 643 289 131 1 1 
5 1974 158 539 364 115 1 1 
6 1975 159 504 274 143 1 1 
7 1976 152 530 241 181 1 1 
8 1977 91 477 526 234 1 1 
9 1978 82 662 278 428 1 1 
10 1979 65 824 376 400 1 1 
11 1980 82 982 227 475 1 1 
12 1981 66 997 195 397 1 1 
13 1982 83 1314 457 408 1 1 
14 1983 154 1471 314 358 1 1 
15 1984 637 1744 453 248 1 1 
16 1985 916 1710 1160 257 1 1 
17 1986 937 1457 813 205 1 1 
18 1987 639 1067 813 139 1 1 
19 1988 784 1216 271 131 1 1 
20 1989 647 1136 182 87 1 1 
21 1990 626 1017 499 153 1 1 
22 1991 296 802 939 149 1 1 
23 1992 292 874 188 115 1 1 
24 1993 268 758 148 146 1 1 
25 1994 130 856 128 45 1 1 
26 1995 161 520 124 48 1 1 
27 1996 153 581 96 45 1 1 
28 1997 175 692 200 38 1 1 
29 1998 231 564 194 22 1 7 
30 1999 227 585 205 34 1 8 
31 2000 290 509 143 11 1 12 
32 2001 430 739 247 33 1 9 
33 2002 381 738 334 40 1 9 
34 2003 336 748 459 57 1 8 
35 2004 374 809 206 76 1 10 
36 2005 354 771 148 63 1 9 
37 2006 356 877 113 49 1 7 
38 2007 517 889 69 87 1 13 
39 2008 438 941 49 66 1 15 
40 2009 395 1132 524 83 1 18 
41 2010 431 1211 167 78 1 18 
42 2011 318.245 1257.717 64.447 103.582 1 25 
43 2012 460.079 1343.811 79.423 131.498 1 22 
44 2013 519.74 1727 46.206 98.697 1 24 

